time = 20150812-193518; ObjectID = 16780800; name = Soldier M4; country = 2; Lat = 44.718526; Long = 37.647496; Alt = 78.980316; Hdg = 3.779569; type = 2.17.26.90
time = 20150812-193518; ObjectID = 16781312; name = M-2 Bradley; country = 2; Lat = 44.735857; Long = 37.665974; Alt = 109.065834; Hdg = 3.513753; type = 2.17.104.7
time = 20150812-193518; ObjectID = 16781824; name = M1134 Stryker ATGM; country = 2; Lat = 44.736487; Long = 37.666253; Alt = 107.355209; Hdg = 5.905479; type = 2.17.104.80
time = 20150812-193518; ObjectID = 16782336; name = A-10C; country = 2; Lat = 44.673562; Long = 37.786036; Alt = 42.280847; Hdg = 3.875569; type = 1.1.6.58
time = 20150812-193518; ObjectID = 16777472; name = Su-25; country = 0; Lat = 44.643033; Long = 37.620645; Alt = 149.939098; Hdg = 5.980158; type = 1.1.6.16
time = 20150812-193518; ObjectID = 16777984; name = BRDM-2; country = 0; Lat = 44.705920; Long = 37.638024; Alt = 88.914540; Hdg = 5.695098; type = 2.17.26.10
time = 20150812-193518; ObjectID = 16778496; name = BMP-1; country = 0; Lat = 44.705838; Long = 37.637983; Alt = 90.259367; Hdg = 1.116054; type = 2.17.104.7
time = 20150812-193518; ObjectID = 16779008; name = BTR-80; country = 0; Lat = 44.721824; Long = 37.623793; Alt = 95.285295; Hdg = 0.332813; type = 2.17.26.10
time = 20150812-193518; ObjectID = 16779520; name = OH-58D; country = 2; Lat = 44.733928; Long = 37.706001; Alt = 243.371706; Hdg = 4.607136; type = 1.2.6.168
time = 20150812-193518; ObjectID = 16780032; name = M-113; country = 2; Lat = 44.718532; Long = 37.647594; Alt = 79.031036; Hdg = 3.839742; type = 2.17.26.10
time = 20150812-193518; ObjectID = 16780544; name = Hummer; country = 2; Lat = 44.718897; Long = 37.647551; Alt = 79.179253; Hdg = 5.340707; type = 2.17.25.14
time = 20150812-193518; ObjectID = 16781056; name = Soldier M249; country = 2; Lat = 44.718623; Long = 37.647334; Alt = 78.968727; Hdg = 3.779569; type = 2.17.26.90
time = 20150812-193518; ObjectID = 16781568; name = M1045 HMMWV TOW; country = 2; Lat = 44.736206; Long = 37.666081; Alt = 108.170453; Hdg = 0.155186; type = 2.17.104.14
time = 20150812-193518; ObjectID = 16782080; name = M1134 Stryker ATGM; country = 2; Lat = 44.736693; Long = 37.666424; Alt = 108.283517; Hdg = 5.437933; type = 2.17.104.80
time = 20150812-193518; ObjectID = 16777728; name = BMP-1; country = 0; Lat = 44.705830; Long = 37.637518; Alt = 86.005172; Hdg = 5.189477; type = 2.17.104.7
time = 20150812-193518; ObjectID = 16778240; name = BRDM-2; country = 0; Lat = 44.705894; Long = 37.637803; Alt = 87.403558; Hdg = 4.180484; type = 2.17.26.10
time = 20150812-193518; ObjectID = 16778752; name = BMP-3; country = 0; Lat = 44.722159; Long = 37.623187; Alt = 95.733788; Hdg = 1.720419; type = 2.17.104.7
time = 20150812-193518; ObjectID = 16779264; name = BRDM-2; country = 0; Lat = 44.721454; Long = 37.624248; Alt = 94.470991; Hdg = 0.103983; type = 2.17.26.10
time = 20150812-193518; ObjectID = 16779776; name = outpost_road; country = 2; Lat = 44.718653; Long = 37.647538; Alt = 79.086159; Hdg = 3.839742; type = 2.17.26.96
time = 20150812-193518; ObjectID = 16780288; name = Hummer; country = 2; Lat = 44.718751; Long = 37.647521; Alt = 79.144386; Hdg = 3.779569; type = 2.17.25.14
time = 20150812-193519; ObjectID = 16780800; name = Soldier M4; country = 2; Lat = 44.718526; Long = 37.647496; Alt = 78.980316; Hdg = 3.779569; type = 2.17.26.90
time = 20150812-193519; ObjectID = 16781312; name = M-2 Bradley; country = 2; Lat = 44.735857; Long = 37.665974; Alt = 109.065834; Hdg = 3.513753; type = 2.17.104.7
time = 20150812-193519; ObjectID = 16781824; name = M1134 Stryker ATGM; country = 2; Lat = 44.736523; Long = 37.666215; Alt = 107.317721; Hdg = 5.154063; type = 2.17.104.80
